,PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY,GENDER,EVENT_DT,DAY,YEAR,DAY_OF_WEEK,MONTH,ID,LOCATION,LABEL
0,0,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:53:44,M50-54,M,2015-09-20,20,2015,6,9,0,"MONTREAL, QC",1
1,1,2016-08-21,Ironman 70.3 Timberman,Individual,04:59:33,M40-44,M,2016-08-21,21,2016,6,8,1,"GILFORD, NH",0
2,1,2016-07-31,Trimemphré Magog,Triathlon Sprint,01:15:04,M40-44,M,2016-07-31,31,2016,6,7,2,"MAGOG, QC",0
3,1,2016-06-27,Ironman 70.3 Mont-Tremblant,Individual,05:24:08,M40-44,M,2016-06-27,27,2016,0,6,3,"MONT-TREMBLANT, QC",0
4,1,2016-06-05,Triathlon Challenge Antoine-Manseau Joliette,Triathlon sprint AG Coupe du Québec,01:12:04,M40-44,M,2016-06-05,5,2016,6,6,4,"JOLIETTE, QC",0
5,1,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,M40-44,M,2016-04-24,24,2016,6,4,5,"MONTREAL, QC",0
6,1,2015-07-26,Trimemphré Magog,Triathlon Sprint,01:19:08,M40-44,M,2015-07-26,26,2015,6,7,6,"MAGOG, QC",0
7,1,2015-06-27,Demi-Marathon de Sherbrooke,5K Road Race,00:17:39,M40-49,M,2015-06-27,27,2015,5,6,7,"SHERBROOKE, QC",0
8,1,2015-04-26,Banque Scotia 21K de Montreal,5K Road Race,00:19:17,M40-44,M,2015-04-26,26,2015,6,4,8,"MONTREAL, QC",0
9,1,2014-06-28,Demi Marathon de Sherbrooke,5K Road Race,00:31:41,M30-39,M,2014-06-28,28,2014,5,6,9,"SHERBROOKE, QC",0
10,1,2014-04-27,Banque Scotia 21km et 5km,Half-Marathon,-1,M35-39,M,2014-04-27,27,2014,6,4,10,"MONTREAL, QC",0
11,1,2013-09-22,Marathon Oasis de Montreal,Marathon,03:17:46,M35-39,M,2013-09-22,22,2013,6,9,11,"MONTREAL, QC",1
12,1,2013-06-29,Demi Marathon de Sherbrooke,Demi-Marathon,01:30:10,M30-39,M,2013-06-29,29,2013,5,6,12,"SHERBROOKE, QC",0
13,1,2013-05-26,Ottawa Race Weekend,Half-Marathon - Demi-Marathon,-1,M35-39,M,2013-05-26,26,2013,6,5,13,"OTTAWA, ON",0
14,1,2012-06-30,Demi Marathon de Sherbrooke,Demi-Marathon,01:49:14,M30-39,M,2012-06-30,30,2012,5,6,14,"SHERBROOKE, QC",0
15,1,2012-05-27,Ottawa Race Weekend,Half-Marathon,01:40:08,M35-39,M,2012-05-27,27,2012,6,5,15,"OTTAWA, ON",0
16,2,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:11:49,M40-44,M,2015-09-20,20,2015,6,9,16,"MONTREAL, QC",1
17,2,2015-08-23,Demi-Marathon Bonneville de Lachine,21.1 KM,01:30:29,M40-49,M,2015-08-23,23,2015,6,8,17,"MONTREAL, QC",0
18,2,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:23:39,M40-44,M,2014-09-28,28,2014,6,9,18,"MONTREAL, QC",1
19,2,2013-09-22,Marathon Oasis de Montreal,Marathon,03:19:46,M40-44,M,2013-09-22,22,2013,6,9,19,"MONTREAL, QC",1
20,2,2012-09-23,Marathon Oasis de Montreal,Marathon,03:33:20,M40-44,M,2012-09-23,23,2012,6,9,20,"MONTREAL, QC",1
21,3,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:16:00,M15-17,M,2015-09-20,20,2015,6,9,21,"MONTREAL, QC",1
22,4,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:56,F30-34,F,2014-09-28,28,2014,6,9,22,"MONTREAL, QC",1
23,5,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:04:59,M13+,M,2015-09-20,20,2015,6,9,23,"MONTREAL, QC",0
24,6,2013-09-22,Marathon Oasis de Montreal,Marathon,04:16:09,F25-29,F,2013-09-22,22,2013,6,9,24,"MONTREAL, QC",1
25,7,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:17:03,M30-34,M,2015-09-20,20,2015,6,9,25,"MONTREAL, QC",1
26,7,2015-08-23,Demi-Marathon Bonneville de Lachine,21.1 KM,-1,M30-39,M,2015-08-23,23,2015,6,8,26,"MONTREAL, QC",0
27,8,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:01:00,F30-34,F,2015-09-20,20,2015,6,9,27,"MONTREAL, QC",1
28,9,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:59:11,F35-39,F,2015-09-20,20,2015,6,9,28,"MONTREAL, QC",1
29,10,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:51,M35-39,M,2015-09-20,20,2015,6,9,29,"MONTREAL, QC",1
30,11,2015-05-24,Tamarack Ottawa Race Weekend,Half-Marathon,-1,M35-39,M,2015-05-24,24,2015,6,5,30,"OTTAWA, ON",0
31,11,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,P'tit Marathon 1 km Tel-Jeunes,00:07:51,M13+,M,2014-09-28,28,2014,6,9,31,"MONTREAL, QC",0
32,11,2013-09-22,Marathon Oasis de Montreal,1km P'tit Marathon,00:09:04,M13+,M,2013-09-22,22,2013,6,9,32,"MONTREAL, QC",0
33,11,2012-09-23,Marathon Oasis de Montreal,Marathon,03:22:51,M30-34,M,2012-09-23,23,2012,6,9,33,"MONTREAL, QC",1
34,12,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:04:08,M45-49,M,2014-09-28,28,2014,6,9,34,"MONTREAL, QC",1
35,13,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:51,M50-54,M,2013-09-22,22,2013,6,9,35,"MONTREAL, QC",1
36,14,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:02:27,F25-29,F,2014-09-28,28,2014,6,9,36,"MONTREAL, QC",1
37,15,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:22:34,M45-49,M,2015-09-20,20,2015,6,9,37,"MONTREAL, QC",1
38,16,2013-09-22,Marathon Oasis de Montreal,Marathon,03:55:08,F30-34,F,2013-09-22,22,2013,6,9,38,"MONTREAL, QC",1
39,17,2014-08-24,Demi-marathon Bonneville de Lachine,Demi-Marathon,01:57:50,M30-39,M,2014-08-24,24,2014,6,8,39,LACHINE,0
40,17,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,02:16:15,M30-39,M,2014-02-16,16,2014,6,2,40,"MONTREAL, QC",0
41,17,2013-11-03,Oka Road Race,Half-Marathon,01:55:30,M30-39,M,2013-11-03,3,2013,6,11,41,"OKA, QC",0
42,17,2013-09-22,Marathon Oasis de Montreal,1km P'tit Marathon,00:08:26,M13+,M,2013-09-22,22,2013,6,9,42,"MONTREAL, QC",0
43,17,2013-05-26,Ottawa Race Weekend,Marathon,-1,M35-39,M,2013-05-26,26,2013,6,5,43,"OTTAWA, ON",1
44,17,2013-04-28,Banque Scotia 21km et 5km,Half-Marathon,02:12:53,M35-39,M,2013-04-28,28,2013,6,4,44,"MONTREAL, QC",0
45,17,2013-02-17,Demi Marathon Hypothermique,Demi-Marathon,02:03:09,M30-39,M,2013-02-17,17,2013,6,2,45,"MONTREAL, QC",0
46,17,2012-09-23,Marathon Oasis de Montreal,Marathon,04:36:14,M35-39,M,2012-09-23,23,2012,6,9,46,"MONTREAL, QC",1
47,17,2012-04-29,Banque Scotia 21km et 5km,21.1 KM,02:17:16,M35-39,M,2012-04-29,29,2012,6,4,47,"MONTREAL, QC",0
48,18,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:34:17,F35-39,F,2014-09-28,28,2014,6,9,48,"MONTREAL, QC",0
49,18,2014-05-25,Tamarack Ottawa Race Weekend,Half-Marathon,-1,F25-29,F,2014-05-25,25,2014,6,5,49,"OTTAWA, ON",0
50,18,2014-05-24,Tamarack Ottawa Race Weekend,HTG Sports 5K,-1,F35-39,F,2014-05-24,24,2014,5,5,50,"OTTAWA, ON",0
51,18,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:04,F25-29,F,2013-09-22,22,2013,6,9,51,"MONTREAL, QC",1
52,18,2013-05-05,"Goodlife Toronto Marathon, Half Marathon, and 5k",Half-Marathon,02:10:52,F25-29,F,2013-05-05,5,2013,6,5,52,"TORONTO, ON",0
53,18,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,02:00:14,F25-29,F,2012-09-23,23,2012,6,9,53,"MONTREAL, QC",0
54,18,2012-06-02,Course des iles,Half-Marathon,02:02:09,M20-29,M,2012-06-02,2,2012,5,6,54,"BOUCHERVILLE, QC",0
55,18,2012-04-29,Course Printaniere Oka,10K Marathon,00:54:38,F20-29,F,2012-04-29,29,2012,6,4,55,PARC NATIONAL OKA,0
56,19,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10K Marathon,01:52:28,F40-44,F,2015-09-20,20,2015,6,9,56,"MONTREAL, QC",0
57,20,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:48:37,M40-44,M,2015-09-20,20,2015,6,9,57,"MONTREAL, QC",1
58,21,2013-09-22,Marathon Oasis de Montreal,Marathon,04:32:47,M50-54,M,2013-09-22,22,2013,6,9,58,"MONTREAL, QC",1
59,22,2014-05-25,Tamarack Ottawa Race Weekend,Marathon,-1,F25-29,F,2014-05-25,25,2014,6,5,59,"OTTAWA, ON",1
60,22,2013-09-22,Marathon Oasis de Montreal,Marathon,04:04:29,F25-29,F,2013-09-22,22,2013,6,9,60,"MONTREAL, QC",1
61,22,2013-05-12,Au rythme de nos foulées Châteauguay,Demi-Marathon,01:44:22,F20-29,F,2013-05-12,12,2013,6,5,61,"CH�TEAUGUAY, QC",0
62,23,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,10K Marathon,01:11:43,F30-39,F,2015-11-08,8,2015,6,11,62,"BROMONT, QC",0
63,23,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:08:05,F35-39,F,2015-09-20,20,2015,6,9,63,"MONTREAL, QC",0
64,23,2014-11-02,Course d'Oka Race,21.1 KM,02:06:28,F30-39,F,2014-11-02,2,2014,6,11,64,"OKA, QC",0
65,23,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:56:53,F35-39,F,2014-09-28,28,2014,6,9,65,"MONTREAL, QC",1
