PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY,GENDER,EVENT_DT,DAY,YEAR,DAY_OF_WEEK,MONTH,ID,LOCATION,LABEL,EveTyp,Age1,Age2,AvgAge,Distance,TimePerKm,TimeInSeconds
7337,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:26:21,M35-39,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,380,15981
7339,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:06:55,M40-44,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,352,14815
7340,25-08-2013,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,03:41:14,M40-49,M,25-08-2013,25,2013,6,8,NULL,QUEBEC QC,1,5,40,49,44,42,316,13274
7340,23-09-2012,Marathon Oasis de Montreal,Marathon,04:11:01,M40-44,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,358,15061
7342,23-09-2012,Marathon Oasis de Montreal,Marathon,03:53:08,M55-59,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,55,59,57,42,333,13988
7343,25-08-2013,Marathon des Deux Rives LÃ©vis-QuÃ©bec,Marathon,03:04:23,M30-39,M,25-08-2013,25,2013,6,8,NULL,QUEBEC QC,1,5,30,39,34,42,263,11063
7343,26-05-2013,Ottawa Race Weekend,Marathon,-1,M35-39,M,26-05-2013,26,2013,6,5,NULL,OTTAWA ON,1,5,35,39,37,42,0,0
7343,23-09-2012,Marathon Oasis de Montreal,Marathon,03:11:52,M35-39,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,274,11512
7344,22-09-2013,Marathon Oasis de Montreal,Marathon,05:08:19,M50-54,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,440,18499
7345,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:33:51,F30-34,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,476,20031
7346,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:25:57,M50-54,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,50,54,52,42,379,15957
7348,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:39:16,M30-34,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,398,16756
7348,22-09-2013,Marathon Oasis de Montreal,Marathon,04:01:47,M25-29,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,345,14507
7349,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:34:46,M30-34,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,30,34,32,42,392,16486
7350,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:06:34,F25-29,F,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,352,14794
7351,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:06:16,M40-44,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,351,14776
7351,25-05-2014,Tamarack Ottawa Race Weekend,Marathon,-1,M40-44,M,25-05-2014,25,2014,6,5,NULL,OTTAWA ON,1,5,40,44,42,42,0,0
7351,26-05-2013,Ottawa Race Weekend,Marathon,-1,M40-44,M,26-05-2013,26,2013,6,5,NULL,OTTAWA ON,1,5,40,44,42,42,0,0
7351,23-09-2012,Marathon Oasis de Montreal,Marathon,03:46:40,M40-44,M,23-09-2012,23,2012,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,323,13600
7351,27-05-2012,Ottawa Race Weekend,Marathon,03:56:19,M40-44,M,27-05-2012,27,2012,6,5,NULL,OTTAWA ON,1,5,40,44,42,42,337,14179
7352,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:37:54,M15-17,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,15,17,16,42,482,20274
7353,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:38:45,M25-29,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,25,29,27,42,483,20325
7354,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,05:09:30,F40-44,F,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,40,44,42,42,442,18570
7355,22-09-2013,Marathon Oasis de Montreal,Marathon,04:20:24,M35-39,M,22-09-2013,22,2013,6,9,NULL,MONTREAL QC,1,6,35,39,37,42,372,15624
7356,20-09-2015,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:57:17,M18-24,M,20-09-2015,20,2015,6,9,NULL,MONTREAL QC,1,6,18,24,21,42,424,17837
7358,28-09-2014,Marathon Oasis Rock â€˜nâ€™ Roll de MontrÃ©al,Marathon,04:00:42,M45-49,M,28-09-2014,28,2014,6,9,NULL,MONTREAL QC,1,6,45,49,47,42,343,14442
