PARTICIPANT_ID,AGE,GENDER,AvgTimeForAllMarathons2012,AvgTimeForAllMarathons2013,AvgTimeForAllMarathons2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForAllMarathons2015
8138,40,1,343,322,347,334.5,328.67,2,393
4603,54,1,359,358,404,358.5,334.4,2,393
5144,27,1,343,355,404,436,488,1,436
275,62,1,323,323,404,323,323,2,393
3269,47,1,363,355,404,363,363,1,393
1646,43,1,343,355,404,371,349.2,1,371
3810,27,1,343,355,404,384,500,0,393
7597,55,1,316,278,404,288.33,270.83,3,271
7700,24,1,343,342,404,342,323.5,1,393
5536,37,1,343,355,388,388,388,1,393
126,32,1,343,345,404,345,345,1,393
6123,10,1,343,355,404,355,317.5,1,393
1208,35,1,343,353,404,353,312.25,1,393
1795,21,0,343,355,404,376,376,1,376
6618,52,1,343,336,404,336,336,1,393
2290,21,1,343,355,404,473,473,1,473
7205,47,1,343,355,404,374,374,1,374
713,42,1,343,355,404,384,379,0,393
3332,37,0,343,403,404,403,403,1,393
6249,24,0,343,385,404,385,327.4,1,393
7245,24,1,343,421,413.5,394,351.78,4,393
5230,42,1,343,355,404,509,509,1,509
2525,27,1,343,355,404,384,292,0,393
86,32,1,343,355,618,618,618,1,393
1835,65,1,343,355,404,550,411.75,1,550
6578,27,1,310,355,404,310,310,1,393
3999,27,1,343,355,404,304,304,1,304
7935,47,1,343,355,413,413,413,1,393
8476,27,0,343,355,404,562,562,1,562
5771,36,1,343,383,349,366,348.83,2,393
1984,49,1,343,355,404,320,344,1,320
7786,43,1,343,355,404,458,396.75,1,458
4540,25,0,343,325,404,325,328.8,1,393
6037,21,1,343,355,404,263,263,1,263
627,52,0,343,355,404,529,529,1,529
1294,47,1,343,355,404,370,370,1,370
6704,37,1,343,355,400,400,400,1,393
2791,32,1,343,355,388,388,325,1,393
3873,52,1,343,355,404,495,495,1,495
7809,22,1,343,355,404,467,340.5,1,467
4563,37,1,343,355,404,318,318,1,318
63,32,0,343,355,404,414,414,1,414
604,27,1,343,355,404,585,585,1,585
3309,37,1,326,304,404,315,300,2,393
776,33,0,355,270,318,314.33,318.25,3,393
1858,42,1,343,355,404,384,434,0,393
4022,52,0,343,355,566,566,566,1,393
1145,46,1,343,319,404,319,289.71,1,393
1317,52,1,340,355,404,340,340,1,393
6727,25,0,343,355,439,439,439,1,393
2768,37,1,330,323,380,344.33,344.33,3,393
7268,32,0,343,377,397,387,374.67,2,393
3850,21,0,343,382,404,382,354,1,393
8413,37,1,343,355,342,342,339,1,393
4085,36,1,316,355,404,316,329,1,393
839,27,0,343,355,404,412,412,1,412
3003,57,0,343,355,404,449,449,1,449
7331,21,1,343,355,491,491,491,1,393
5167,13,1,343,355,404,384,251,0,393
4626,37,1,343,355,404,325,325,1,325
5708,52,1,343,355,326,326,326,1,393
298,37,1,343,355,404,375,375,1,375
1380,47,1,343,310,404,310,310,2,393
6790,52,1,343,317.67,324,333,333,6,397
2462,37,1,343,355,404,418,418,1,418
7872,27,1,343,355,404,384,403,0,393
3544,21,1,343,355,404,314,314,1,314
8264,42,1,343,355,404,483,483,1,483
4477,22,1,343,355,404,305,394.5,1,305
5018,47,1,343,355,430,430,430,1,393
5559,54,1,359,355,444,401.5,401.5,2,393
149,42,1,255,355,404,255,255,1,393
690,38,1,343,355,350,350,350.25,1,393
3936,27,1,421,461,404,441,422,2,393
7723,42,1,343,355,404,384,401,0,393
2313,43,0,343,355,404,384,415.5,0,393
3395,21,1,343,298,404,298,298,1,393
6100,35,1,343,355,404,324,336.67,1,324
1231,47,0,343,473,404,473,473,1,393
1772,47,1,343,355,404,332,332,1,332
6641,33,1,337,324,324,328.33,323.63,3,393
7182,22,1,343,355,404,371,371,1,371
2854,42,0,376,355,404,376,376,1,393
4506,25,1,343,355,404,432,356.33,1,432
261,52,0,343,355,404,535,535,2,535
7423,50,0,343,355,404,379,342.5,1,379
3178,25,0,343,355,357,319.5,281.88,2,282
5857,47,1,343,355,522,522,522,1,393
238,52,1,343,430,404,430,430,1,393
7400,42,0,356,355,404,356,356,1,393
4529,53,1,343,355,404,384,229.83,0,393
1804,42,0,343,355,404,352,352,1,352
3132,21,1,293,355,404,293,293,1,393
4483,35,1,343,355,404,398,382.33,2,396
3155,42,1,343,355,404,384,377,1,393
4337,42,0,343,403,404,403,414.75,1,393
92,45,1,343,385,404,385,384.2,1,393
430,37,1,343,358,404,358,358,1,393
3009,22,1,302,355,404,302,302,1,393
1758,21,0,343,355,404,384,409,0,393
115,37,1,343,355,404,474,474,1,474
1658,37,1,281,355,404,281,281,1,393
1781,42,1,343,355,366,366,366,1,393
2986,28,1,284,355,404,284,284.33,1,393
3109,21,0,343,355,404,338,338,1,338
138,42,1,343,355,404,509,509,1,509
384,47,0,231.67,225.33,224.33,225.92,216.59,12,225
1466,21,0,343,355,404,405,405,1,405
1635,47,1,343,355,404,443,443,1,443
2963,52,1,343,355,404,357,357,1,357
161,25,0,343,355,356,356,356,1,393
284,35,0,343,355,404,425,370.67,1,425
407,37,1,346,355,404,346,346,1,393
1489,30,1,302,355,404,302,507,1,393
1612,28,0,343,376,404,413.5,374.5,2,451
1512,27,0,343,487,404,487,503.75,1,393
2840,35,0,374,355,429,401.5,421.6,2,393
7500,27,1,343,355,404,384,414,0,393
6172,52,1,343,355,404,384,376,0,393
4406,36,1,343,336,417,352.2,336,5,336
5734,32,1,360,341,404,350.5,350.5,2,393
576,27,1,343,355,468,468,468,1,393
1904,37,0,343,455,404,455,455,1,393
7546,21,0,343,355,404,482,482,1,482
2886,43,1,309,290,404,299.5,283.17,2,393
4214,21,1,343,389,404,389,347,1,393
8628,38,1,343,355,404,384,277.5,0,393
7692,50,0,343,355,445,445,351.33,1,393
4360,45,0,343,355,404,450,384,1,450
3278,52,1,343,355,404,532,532,1,532
1950,21,1,343,355,404,404,404,1,393
3032,37,0,343,405,404,405,405,1,393
8582,32,1,343,386,404,386,386,1,393
5588,56,1,343,355,452,452,373.75,1,393
2096,52,0,388,362,404,375,346.83,2,393
4260,37,0,343,355,404,384,405,0,393
7254,27,1,343,355,404,384,325,0,393
3424,52,1,343,355,404,480,480,1,480
7646,42,0,343,417,404,416.5,381.8,2,416
4652,32,0,343,355,404,502,502,1,502
8482,44,0,343,355,530,530,530,1,393
3324,32,1,346,355,404,346,346,1,393
6318,62,1,343,355,404,384,498,0,393
4552,37,0,343,355,404,373,373,1,373
5634,21,1,343,355,333,333,333,1,393
5880,43,1,304,355,404,304,262.5,1,393
6962,60,1,343,355,404,630,543.67,1,630
3470,48,0,343,320,404,320,326,1,393
4798,43,1,343,355,404,384,322.67,0,393
4944,21,1,343,355,500,500,500,1,393
5780,40,1,301,277,404,289,277.25,2,393
6026,37,0,343,318,404,318,318,1,393
7354,42,0,343,355,442,442,442,1,393
6272,37,0,343,355,385,385,385,1,393
7108,27,1,343,355,404,449,449,1,449
