PARTICIPANT_ID,AGE,GENDER,AvgTimeForMontrealMarathon2012,AvgTimeForMontrealMarathon2013,AvgTimeForMontrealMarathon2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForMontrealMarathon2015
0,52,1,0,0,0,333,333,1,333
1,39,1,0,18.8,0,18.8,130.6,1,0
2,42,1,60.8,57,58,230.6,282.2,4,54.8
3,16,1,0,0,0,365,365,1,365
4,32,-1,0,0,414,414,414,1,0
5,6,1,0,0,0,0,0,0,0
6,27,-1,0,365,0,365,365,1,0
7,33,1,0,0,0,183.5,183.5,1,183.5
8,32,-1,0,0,0,515,515,1,515
9,37,-1,0,0,0,427,427,1,427
10,37,1,0,0,0,378,378,1,378
11,20,1,72.25,0,0,72.25,72.25,1,0
12,47,1,0,0,434,434,434,1,0
13,52,1,0,364,0,364,364,1,0
14,27,-1,0,0,432,432,432,1,0
15,47,1,0,0,0,289,289,1,289
16,32,-1,0,335,0,335,335,1,0
17,32,1,43.78,0,0,43.78,285.67,2,0
18,28,0,0,45.25,0,45.25,274.25,1,0
19,42,-1,0,0,0,0,674,0,0
20,42,1,0,0,0,498,498,1,498
21,52,1,0,389,0,389,389,1,0
22,26,-1,0,116.33,0,116.33,215.67,2,0
23,35,-1,0,0,101.8,101.8,401,1,0
24,42,1,0,0,0,378,378,1,378
25,44,-1,0,0,0,68.83,284.5,1,68.83
26,47,1,0,0,0,495,495,1,495
27,47,1,0,0,0,330,330,1,330
28,42,1,300,0,0,300,300,1,0
29,47,1,0,0,382,382,382,1,0
30,32,-1,0,0,0,0,562,0,0
31,21,1,0,0,0,303,303,1,303
32,55,-1,0,0,0,0,280,0,0
33,42,1,0,0,559,559,559,1,0
34,36,1,0,0,43.13,84.38,231.13,3,0
35,42,1,0,0,0,0,514,0,0
36,42,1,0,0,0,0,0,1,0
37,32,1,0,0,0,408,408,1,408
38,38,1,0,0,0,0,356.5,0,0
39,42,-1,0,0,0,492,492,1,492
40,32,1,0,21.2,0,21.2,40.47,1,0
41,32,1,378,0,0,378,378,1,0
42,42,1,0,0,381,381,381,1,0
43,24,1,0,0,161,161,161,1,0
44,47,1,0,422,0,422,422,1,0
45,47,1,0,0,0,373,373,1,373
46,51,-1,0,19.6,0,19.6,276.8,4,0
47,32,-1,0,0,0,369,369,1,369
48,63,1,0,0,75.2,75.2,318.4,1,0
49,42,1,0,0,0,387,387,1,387
50,47,1,0,0,0,591,591,1,591
51,27,-1,0,0,0,457,457,1,457
52,27,1,55.4,0,0,55.4,109.4,1,0
53,32,1,0,45.88,0,45.88,203.5,1,0
54,37,-1,0,0,0,563,563,1,563
55,32,-1,0,0,586,586,586,1,0
56,30,1,0,97.67,0,97.67,97.67,1,0
57,32,1,0,0,0,322,322,1,322
58,27,-1,0,0,389,389,389,1,0
59,25,1,0,0,178.5,178.5,330.5,1,0
60,32,1,322,0,0,322,322,1,0
61,27,1,0,108,109,217,323.33,2,0
62,42,1,0,0,0,460,460,1,460
63,32,-1,0,0,0,414,414,1,414
64,36,1,108.33,0,0,108.33,293.33,1,0
65,47,1,0,0,62.4,62.4,312.6,1,0
66,47,1,33.67,33.89,34.56,102.11,224.11,4,0
67,21,-1,0,0,0,331,331,1,331
68,47,1,0,444,0,444,444,1,0
69,16,1,152,0,0,152,295.5,1,0
70,27,1,0,0,0,0,327,0,0
71,42,1,0,0,0,410,410,1,410
72,35,-1,0,0,0,0,389,0,0
73,42,1,0,0,0,0,314,0,0
74,27,1,0,0,0,506,506,1,506
75,35,1,0,0,0,161,297,1,161
76,18,0,0,0,202,202,359.5,1,0
77,53,-1,0,0,0,0,315.5,0,0
78,37,-1,0,0,0,383,383,1,383
79,52,1,0,0,0,483,483,1,483
80,52,-1,0,0,0,655,655,1,655
81,32,1,0,0,0,0,188,1,0
82,52,1,0,0,413,413,413,1,0
83,42,1,0,0,0,0,362,0,0
84,27,-1,67.6,0,0,67.6,129.6,1,0
85,53,1,0,0,222.5,222.5,390,1,0
86,32,1,0,0,618,618,618,1,0
87,35,-1,0,0,0,0,416,0,0
88,37,-1,0,0,0,0,653,0,0
89,32,1,0,0,0,393,393,1,393
90,42,1,0,0,0,306,306,1,306
91,42,1,0,0,386,386,386,1,0
92,45,1,0,77,0,77,384.2,1,0
93,53,1,143,0,0,143,143,2,0
94,42,-1,0,0,471,471,471,1,0
95,34,-1,0,0,0,0,423,0,0
96,52,1,0,60.29,0,120.14,355.71,3,0
97,37,1,0,0,578,578,578,1,0
98,42,1,407,0,0,407,407,1,0
99,35,1,0,0,0,462,462,2,245.5
100,43,-1,0,0,0,0,278.5,0,0
101,21,1,0,0,370,370,370,1,0
102,47,1,0,425,0,425,425,1,0
103,32,1,0,64.8,0,64.8,213.4,1,0
104,45,-1,0,0,62.57,62.57,298.57,2,0
105,25,-1,0,0,172.67,172.67,404.67,1,0
106,21,-1,0,0,128.75,128.75,399,1,0
107,47,1,345,0,0,345,345,1,0
108,27,1,0,0,330,330,330,1,0
109,53,1,0,0,0,0,160,0,0
110,21,1,0,0,0,350,350,1,350
111,32,-1,0,315,0,315,315,1,0
112,27,-1,0,0,0,0,654,0,0
113,37,1,0,0,0,423,423,1,423
114,43,1,26.43,0,0,26.43,237.79,3,0
115,37,1,0,0,0,474,474,1,474
116,57,-1,0,365,0,365,365,1,0
117,41,1,0,0,0,121.5,326,1,121.5
118,21,-1,0,0,0,0,421,0,0
119,52,1,0,0,0,0,293,0,0
120,32,-1,0,0,189,189,332.33,1,0
121,32,1,0,63.33,0,63.33,246.17,1,0
122,25,1,0,57.83,0,57.83,264.33,1,0
123,47,-1,0,391,0,391,391,1,0
124,45,-1,0,0,0,177,177,1,177
125,35,1,0,156,0,156,303.5,1,0
126,32,1,0,345,0,345,345,1,0
127,57,1,0,187,199.5,386.5,386.5,2,0
