,PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY
0,1,2016-08-21,Ironman 70.3 Timberman,Individual,04:59:33,M40-44
0,1,2016-07-31,Trimemphré Magog,Triathlon Sprint,01:15:04,M40-44
0,1,2016-06-27,Ironman 70.3 Mont-Tremblant,Individuel,05:24:08,M40-44
0,1,2016-06-05,Triathlon Challenge Antoine-Manseau Joliette,Triathlon sprint AG Coupe du Québec,01:12:04,M40-44
0,1,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,M40-44
0,1,2015-07-26,Trimemphré Magog,Triathlon Sprint,01:19:08,M40-44
0,1,2015-06-27,Demi-Marathon de Sherbrooke,5 KM,00:17:39,M40-49
0,1,2015-04-26,Banque Scotia 21K de Montreal,5 KM,00:19:17,M40-44
0,1,2014-06-28,Demi Marathon de Sherbrooke,5 KM,00:31:41,M30-39
0,1,2014-04-27,Banque Scotia 21km et 5km,21 KM,-1,M35-39
0,1,2013-09-22,Marathon Oasis de Montreal,Marathon,03:17:46,M35-39
0,1,2013-06-29,Demi Marathon de Sherbrooke,Demi-Marathon,01:30:10,M30-39
0,1,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M35-39
0,1,2012-06-30,Demi Marathon de Sherbrooke,Demi-Marathon,01:49:14,M30-39
0,2,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:11:49,M40-44
0,2,2015-08-23,Demi-Marathon Bonneville de Lachine,21.1 KM,01:30:29,M40-49
0,2,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:23:39,M40-44
0,2,2013-09-22,Marathon Oasis de Montreal,Marathon,03:19:46,M40-44
0,7,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:17:03,M30-34
0,11,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M35-39
0,11,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,P'tit Marathon 1 km Tel-Jeunes,00:07:51,M13+
0,11,2013-09-22,Marathon Oasis de Montreal,1km P'tit Marathon,00:09:04,M13+
0,17,2014-08-24,Demi-marathon Bonneville de Lachine,Demi-Marathon,01:57:50,M30-39
0,17,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,02:16:15,M30-39
0,17,2013-11-03,Oka Road Race,Half Marathon,01:55:30,M30-39
0,17,2013-09-22,Marathon Oasis de Montreal,1km P'tit Marathon,00:08:26,M13+
0,17,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M35-39
0,17,2013-04-28,Banque Scotia 21km et 5km,21 KM,02:12:53,M35-39
0,17,2013-02-17,Demi Marathon Hypothermique,Demi-Marathon,02:03:09,M30-39
0,17,2012-09-23,Marathon Oasis de Montreal,Marathon,04:36:14,M35-39
0,18,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:34:17,F35-39
0,18,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,F25-29
0,18,2014-05-24,Tamarack Ottawa Race Weekend,HTG Sports 5K,-1,F35-39
0,18,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:04,F25-29
0,18,2013-05-05,"Goodlife Toronto Marathon, Half Marathon, and 5k",Half Marathon,02:10:52,F25-29
0,18,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,02:00:14,F25-29
0,18,2012-06-02,Course des iles,21 KM,02:02:09,M20-29
0,22,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,F25-29
