PARTICIPANT_ID,AGE,GENDER,AvgTimeForAllMarathons2012,AvgTimeForAllMarathons2013,AvgTimeForAllMarathons2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForAllMarathons2015
0,52,1,343,358,412,333,333,1,333
1589,37,1,343,358,412,499,499,1,499
7162,32,1,343,358,425,425,425,1,397
2917,47,1,343,370,412,370,370,1,397
5834,47,0,343,358,412,386,504,0,397
8513,43,1,343,358,412,476,429,1,476
23,35,0,343,358,509,509,401,1,397
1566,30,1,258,358,412,258,243.78,1,397
7185,37,1,343,358,412,452,452,1,452
2894,21,0,254,358,412,254,254,1,397
4460,22,1,343,358,412,269,233.5,1,269
5788,52,0,343,358,412,380,380,1,380
46,53,0,343,392,412,392,346,4,397
215,49,0,362,358,412,417.5,417.5,2,473
1374,52,1,309,299,412,302,302,4,298
1543,47,1,343,364,412,364,364,1,397
5811,27,1,343,351,412,351,317.75,1,397
69,16,1,304,358,412,304,295.5,1,397
192,42,1,343,358,417,417,378.5,2,397
1397,42,0,343,358,412,432,432,1,432
1520,34,1,343,358,491,482,388.86,2,473
7139,35,1,343,358,412,331,313.5,1,331
5665,58,1,343,358,412,386,312.67,1,397
6993,37,0,343,275,412,275,304,1,397
3086,53,1,343,410,412,420.5,387.67,2,431
4414,27,0,343,358,412,386,293,0,397
1420,42,0,343,358,412,386,466,0,397
2748,35,1,343,358,412,386,275.5,0,397
4314,47,0,388,358,412,388,388,1,397
5642,42,1,343,358,387,387,387,1,397
5765,37,1,343,358,412,337,337,1,337
1443,37,1,343,358,412,386,377,1,397
2771,37,1,343,358,412,386,377,1,397
4437,37,1,343,358,412,386,311,0,397
4122,34,0,343,368,412,368,395.67,1,397
4291,35,0,343,386,412,386,353.33,1,397
5619,57,1,343,363,412,363,332.33,1,397
2794,30,1,237,358,412,237,220.94,1,397
3040,42,1,343,358,412,358,358,1,358
1712,42,1,343,358,412,386,454,0,397
4268,57,1,343,472,412,472,472,1,397
1735,21,0,343,358,471,471,397.5,1,397
2817,32,0,298,358,412,298,298,1,397
2940,32,1,343,358,413,413,413,1,397
3063,43,1,342,358,412,342,343.33,1,397
4145,36,1,343,358,412,386,388.25,0,397
4168,42,1,343,358,343,343,343,1,397
5496,29,0,403,358,412,403,377.5,1,397
1251,37,1,343,358,412,521,521,1,521
4560,37,0,331,300,351,327.75,319.29,5,329
8390,21,1,343,303,412,303,282,1,397
3232,52,1,375,358,412,375,375,1,397
1689,33,0,343,342,412,342,314.38,2,397
7062,32,1,343,358,412,328,328,1,328
361,32,1,343,358,412,386,366,0,397
5542,45,1,343,358,412,326,299.5,1,326
6870,37,0,343,358,412,367,355,1,367
2625,47,1,294,281,412,287.5,291.88,2,397
1297,37,0,343,358,412,386,391,0,397
4606,27,1,343,358,412,295,295,1,295
5934,42,1,343,358,412,303,303,1,303
315,27,1,318,358,412,315,298.8,2,312
7016,27,1,343,358,431,431,431,1,397
5688,25,1,343,358,412,386,331.67,0,397
8244,53,1,369,358,412,399.5,399.5,2,430
4752,42,1,343,358,412,380,380,1,380
6080,38,1,343,358,360,353,328,3,346
169,27,1,343,323,412,323,323,1,397
6916,27,0,343,358,454,454,393.67,1,397
5980,42,0,343,422,412,422,422,1,397
1105,37,1,343,330,412,330,330,1,397
7308,37,0,343,434,468,451,374.21,2,397
8290,52,1,343,336,412,336,336,1,397
8536,47,1,343,358,412,385,385,1,385
7208,57,1,343,293,412,293,293,1,397
7454,27,1,343,358,412,386,418,0,397
6126,27,0,343,358,412,386,409,0,397
7600,34,0,364,358,412,364,349.75,1,397
8436,42,1,343,358,412,327,287.25,1,327
8682,24,1,343,358,412,386,413,0,397
8075,32,0,343,358,412,395,395,1,395
2004,37,0,343,358,412,451,470,1,451
2502,47,0,372,358,412,372,372,2,397
7577,34,1,343,358,412,386,393.67,0,397
3853,42,0,347,358,412,347,347,1,397
6226,37,1,343,358,412,386,377,1,397
6724,35,1,343,358,412,362,347,1,362
3355,34,0,343,358,412,386,340.33,1,397
6203,49,0,343,358,412,536,528,1,536
1128,25,1,343,358,412,342,325.5,1,342
3378,42,0,343,368,412,368,346,1,397
8098,35,1,343,370,391,376,370.75,3,367
4729,20,1,343,298,412,298,298,2,397
4852,27,0,343,358,412,338,338,1,338
438,36,0,335,358,412,335,334.67,1,397
2479,35,1,343,358,412,409,372.67,1,409
5250,25,0,343,358,412,443,373.5,1,443
507,32,0,343,358,468,468,390.71,1,397
2671,43,0,343,358,342,342,304.5,1,397
4829,27,0,343,358,412,386,516,0,397
3478,52,1,343,358,412,563,563,1,563
3976,33,1,343,274.33,236,264.75,250.63,4,397
607,27,1,343,358,412,379,379,1,379
1812,21,0,343,354,412,354,354,1,397
6601,25,0,343,379,412,379,341.25,1,397
3455,32,0,343,358,466,466,466,1,397
3876,62,1,343,358,412,496,496,1,496
4045,35,1,343,330,412,330,304,1,397
4537,21,0,343,358,444,444,434,1,397
630,43,1,343,358,412,411,352.33,1,411
5227,27,1,343,358,351,351,351,2,397
5350,57,0,343,582,412,582,562.2,1,397
3186,37,1,343,358,363,363,363,1,397
1981,47,0,343,358,412,300,300,1,300
2104,52,1,343,303,412,303,283.75,1,397
5911,42,0,343,471,412,471,471,1,397
836,27,1,343,358,412,394,394,1,394
338,57,1,343,358,412,386,360,0,397
5021,33,1,343,445,412,445,416.5,1,397
5058,32,1,343,358,412,423,423,1,423
5519,53,1,343,358,412,456,400.5,1,456
730,52,1,343,358,412,337,337,1,337
1228,27,0,358,358,412,358,358,1,397
8367,33,1,343,370,412,370,310.8,1,397
2210,44,1,343,358,412,386,271.2,1,397
7285,50,0,343,358,381,381,369.2,1,397
3647,42,1,343,358,412,275,275,1,275
3684,57,1,343,358,417,417,417,1,397
7975,57,1,343,358,412,260,260,1,260
2602,55,1,390,358,412,390,382.6,1,397
6893,74,1,343,358,412,386,306,0,397
6495,45,1,343,269,352,310.5,272,5,397
8659,47,1,343,358,412,386,349,0,397
7769,36,1,343,359,412,349.5,316,2,340
8267,33,0,343,387,412,387,331.75,1,397
6103,41,0,353,356,412,354.5,353.17,2,397
2310,42,0,343,358,412,457,457,1,457
146,27,1,343,358,412,386,352,0,397
7869,40,0,419,425,412,422,395.33,2,397
7477,32,1,317,358,412,317,317,1,397
6395,32,0,343,358,412,412,412,1,412
8559,53,0,343,358,412,386,332.75,0,397
7992,39,0,343,358,412,603,603,1,603
2087,32,1,343,358,412,494,494,1,494
8015,52,1,343,368,412,368,368,1,397
736,42,1,294,292,412,293,273.6,2,397
1068,35,1,343,358,336,336,308.38,1,397
2064,27,1,343,358,485,485,485,1,397
6687,52,1,295,294,332,307,322,6,397
7706,43,1,342,349.5,355.67,351.33,338.26,14,397
8038,21,1,343,358,412,421,421,1,421
8207,32,0,339,339,412,339,339,2,397
4789,42,1,343,358,275,275,275,1,397
5121,42,1,343,358,374,380,341,2,386
